year,month,starthour,season,weekday,trips
2019,Feb,07,Winter,Thursday,9564
2019,Feb,07,Winter,Tuesday,10321
2019,Feb,07,Winter,Wednesday,9940
2019,Feb,08,Winter,Friday,14207
2019,Feb,08,Winter,Monday,14106
2019,Feb,08,Winter,Saturday,3693
2019,Feb,08,Winter,Sunday,2250
2019,Feb,08,Winter,Thursday,16575
2019,Feb,08,Winter,Tuesday,17285
2019,Feb,08,Winter,Wednesday,17509
2019,Feb,09,Winter,Friday,10910
2019,Feb,09,Winter,Monday,9687
2019,Feb,09,Winter,Saturday,5644
2019,Feb,09,Winter,Sunday,4131
2019,Feb,09,Winter,Thursday,11773
2019,Feb,09,Winter,Tuesday,10876
2019,Feb,09,Winter,Wednesday,12410
2019,Feb,10,Winter,Friday,5875
2019,Feb,10,Winter,Monday,5797
2019,Feb,10,Winter,Saturday,7279
2019,Feb,10,Winter,Sunday,6120
2019,Feb,10,Winter,Thursday,6376
2019,Feb,10,Winter,Tuesday,5652
2019,Feb,10,Winter,Wednesday,6433
2019,Feb,11,Winter,Friday,6017
2019,Feb,11,Winter,Monday,5746
2019,Feb,11,Winter,Saturday,8498
2019,Feb,11,Winter,Sunday,7788
2019,Feb,11,Winter,Thursday,5980
2019,Feb,11,Winter,Tuesday,5051
2019,Feb,11,Winter,Wednesday,5480
2019,Feb,12,Winter,Friday,7239
2019,Feb,12,Winter,Monday,6937
2019,Feb,12,Winter,Saturday,9289
2019,Feb,12,Winter,Sunday,9052
2019,Feb,12,Winter,Thursday,7238
2019,Feb,12,Winter,Tuesday,5803
2019,Feb,12,Winter,Wednesday,5871
2019,Feb,13,Winter,Friday,7993
2019,Feb,13,Winter,Monday,7271
2019,Feb,13,Winter,Saturday,9516
2019,Feb,13,Winter,Sunday,9675
2019,Feb,13,Winter,Thursday,7514
2019,Feb,13,Winter,Tuesday,6093
2019,Feb,13,Winter,Wednesday,5718
2019,Feb,14,Winter,Friday,8550
2019,Feb,14,Winter,Monday,7526
2019,Feb,14,Winter,Saturday,9464
2019,Feb,14,Winter,Sunday,9831
2019,Feb,14,Winter,Thursday,7871
2019,Feb,14,Winter,Tuesday,6265
2019,Feb,14,Winter,Wednesday,5924
2019,Feb,15,Winter,Friday,9780
2019,Feb,15,Winter,Monday,8325
2019,Feb,15,Winter,Saturday,9292
2019,Feb,15,Winter,Sunday,10024
2019,Feb,15,Winter,Thursday,8766
2019,Feb,15,Winter,Tuesday,6923
2019,Feb,15,Winter,Wednesday,6266
2019,Feb,16,Winter,Friday,12047
2019,Feb,16,Winter,Monday,10409
2019,Feb,16,Winter,Saturday,9070
2019,Feb,16,Winter,Sunday,9470
2019,Feb,16,Winter,Thursday,11049
2019,Feb,16,Winter,Tuesday,8874
2019,Feb,16,Winter,Wednesday,7914
2019,Feb,17,Winter,Friday,16088
2019,Feb,17,Winter,Monday,15979
2019,Feb,17,Winter,Saturday,7800
2019,Feb,17,Winter,Sunday,8824
2019,Feb,17,Winter,Thursday,17871
2019,Feb,17,Winter,Tuesday,14407
2019,Feb,17,Winter,Wednesday,12481
2019,Feb,18,Winter,Friday,13115
2019,Feb,18,Winter,Monday,14469
2019,Feb,18,Winter,Saturday,6371
2019,Feb,18,Winter,Sunday,7002
2019,Feb,18,Winter,Thursday,16707
2019,Feb,18,Winter,Tuesday,13570
2019,Feb,18,Winter,Wednesday,10447
2019,Feb,19,Winter,Friday,8590
2019,Feb,19,Winter,Monday,9461
2019,Feb,19,Winter,Saturday,5340
2019,Feb,19,Winter,Sunday,5103
2019,Feb,19,Winter,Thursday,10378
2019,Feb,19,Winter,Tuesday,8871
2019,Feb,19,Winter,Wednesday,6617
2019,Feb,20,Winter,Friday,5555
2019,Feb,20,Winter,Monday,6140
2019,Feb,20,Winter,Saturday,3693
2019,Feb,20,Winter,Sunday,3419
2019,Feb,20,Winter,Thursday,6963
2019,Feb,20,Winter,Tuesday,5927
2019,Feb,20,Winter,Wednesday,4559
2019,Feb,21,Winter,Friday,3948
2019,Feb,21,Winter,Monday,4227
