year,month,age,usertype,count,mean
2019,Jan,85,Subscriber,35,9.394285714285713
2019,Jan,86,Subscriber,17,8.284313725490197
2019,Jan,87,Subscriber,10,3.493333333333333
2019,Jan,88,Subscriber,3,8.733333333333334
2019,Jan,89,Customer,1,9.933333333333334
2019,Jan,89,Subscriber,40,19.469583333333333
2019,Jan,90,Subscriber,1,6.95
2019,Jan,91,Subscriber,11,4.107575757575758
2019,Jan,92,Subscriber,1,21.533333333333335
2019,Jan,95,Subscriber,43,6.319379844961239
2019,Jan,96,Subscriber,3,5.933333333333333
2019,Jan,98,Subscriber,30,4.605555555555556
2019,Jan,99,Subscriber,2,25.291666666666664
2019,Jan,100,Subscriber,3,24.12777777777778
2019,Jan,101,Subscriber,2,10.641666666666667
2019,Jan,103,Subscriber,11,5.751515151515151
2019,Jan,107,Subscriber,16,613.8770833333334
2019,Jan,109,Subscriber,16,4.390625
2019,Jan,110,Subscriber,25,25.324
2019,Jan,112,Subscriber,1,40.2
2019,Jan,118,Customer,1,25.983333333333334
2019,Jan,118,Subscriber,50,15.89
2019,Jan,119,Customer,1,24.883333333333333
2019,Jan,119,Subscriber,491,4.101289884589273
2019,Jan,120,Subscriber,16,20.581250000000004
2019,Jan,122,Subscriber,2,10.225
2019,Jan,123,Subscriber,67,7.493532338308458
2019,Jan,124,Subscriber,18,10.265740740740739
2019,Jan,129,Subscriber,45,10.71074074074074
2019,Jan,130,Subscriber,4,8.9
2019,Jan,131,Subscriber,59,12.63276836158192
2019,Jan,132,Subscriber,2,8.85
2019,Jan,133,Subscriber,14,11.774999999999997
2019,Feb,16,Customer,11,31.46363636363636
2019,Feb,16,Subscriber,2,3.466666666666667
2019,Feb,17,Customer,184,28.793568840579713
2019,Feb,17,Subscriber,495,11.480639730639721
2019,Feb,18,Customer,203,32.665106732348114
2019,Feb,18,Subscriber,1419,10.028247592201085
2019,Feb,19,Customer,573,27.969022687609062
2019,Feb,19,Subscriber,2462,12.091720823179005
2019,Feb,20,Customer,807,54.112722015695965
2019,Feb,20,Subscriber,4507,11.00601656682198
2019,Feb,21,Customer,761,34.101007446342514
2019,Feb,21,Subscriber,6003,11.259856183019592
2019,Feb,22,Customer,1327,24.289638281838748
2019,Feb,22,Subscriber,7548,11.442437290231409
2019,Feb,23,Customer,1074,28.592706393544407
2019,Feb,23,Subscriber,9828,12.031623931623926
2019,Feb,24,Customer,1382,61.58183791606362
2019,Feb,24,Subscriber,17977,12.388417607683929
2019,Feb,25,Customer,1474,27.55807327001356
2019,Feb,25,Subscriber,22489,13.139033898053768
2019,Feb,26,Customer,1304,28.339404396728025
2019,Feb,26,Subscriber,31060,11.95249892680837
2019,Feb,27,Customer,1647,28.4326654523376
2019,Feb,27,Subscriber,32072,11.317797975388753
2019,Feb,28,Customer,1309,23.651196842373285
2019,Feb,28,Subscriber,34973,12.073198848635592
2019,Feb,29,Customer,1479,37.681214784764485
2019,Feb,29,Subscriber,36072,13.48695710430989
2019,Feb,30,Customer,1259,57.07115435530843
2019,Feb,30,Subscriber,36034,11.642818819263246
2019,Feb,31,Customer,1721,36.74833430176249
2019,Feb,31,Subscriber,35193,11.259133918676879
2019,Feb,32,Customer,1400,37.844488095238056
2019,Feb,32,Subscriber,32621,11.519118563706368
2019,Feb,33,Customer,829,22.006192199437084
2019,Feb,33,Subscriber,30515,11.652665902015451
2019,Feb,34,Customer,683,22.819375305026846
2019,Feb,34,Subscriber,31078,12.514317738164268
2019,Feb,35,Customer,764,26.164048865619577
2019,Feb,35,Subscriber,30259,11.510303270652244
2019,Feb,36,Customer,867,22.145770857362567
2019,Feb,36,Subscriber,27430,11.55985842751247
2019,Feb,37,Customer,533,30.268417761100686
2019,Feb,37,Subscriber,25314,11.65726738826997
